"artist";"title"
"The Lemonheads";"Mrs Robinson"
"Elvis Presley";"A Little Less Conversation (Junkie Xl Remix)"
"Iggy Pop";"James Bond"
"Cowboy Junkies";"Sweet Jane"
"Superorganism";"Something For Your M.i.n.d."
"Kraftwerk";"Trans-Europe Express"
"Red Hot Chili Peppers";"The Adventures Of Rain Dance Maggie"
"Shame";"One Rizla"
"David Bowie";"Blue Jean"
"Kasabian";"Shoot The Runner"
"James Bay";"Pink Lemonade"
"Depeche Mode";"Personal Jesus"
"Richard Hawley";"Heart Of Oak"
"The Who";"My Generation"
"Caesars";"Jerk It Out"
"Ezra Furman";"Love You So Bad"
"Talking Heads";"Once In A Lifetime"
"Air";"Radio #1"
"Fidlar";"By Myself"
"Pulp";"This Is Hardcore"
"Balthazar";"Then What"
"The Beach Boys";"Wouldn't It Be Nice (Remastered)"
"Shake Shake Go";"Come Back To Me"
"Propellerheads";"History Repeating (Feat. Shirley Bassey)"
"Razorlight";"Olympus Sleeping"
"Garbage";"Queer"
"Ben Howard";"The Fear"
"The Clash";"Police And Thieves"
"Radiohead";"Scatterbrain"
"Big Thief";"Not"
"The Fall";"Cruiser's Creek"
"Dirty Pretty Things";"Bang Bang You're Dead"
"Night Beats";"Her Cold Cold Heart"
"The Stone Roses";"Fools Gold"
"Bloc Party";"The Good News"
"Queen";"Killer Queen"
"The Dead Weather";"I Cut Like A Buffalo"
"Charlotte Gainsbourg";"Such A Remarkable Day"
"Lotus Eaters";"The First Picture Of You"
"Tom Jones";"Mama Told Me Not To Come"
"Bandit Bandit";"Maux"
"Suzanne Vega";"Marlene On The Wall"
"Soko";"Who Wears The Pants ?"
"Marianne Faithfull";"The Ballad Of Lucy Jordan"
"Just Jack";"Writer's Block"
"Kurt Vile";"Loading Zones"
"The Cure";"Lullaby"
"Supergrass";"Diamond Hoo Ha Man"
"Everything But The Girl";"Each And Everyone"
"The B-52'S";"Planet Claire"
"Tunng";"Bullets"
"The Fat White Family";"Feet"
"The Romantics";"Talking In Your Sleep"
"Kaiser Chiefs";"I Predict A Riot"
"Greta Van Fleet";"When The Curtain Falls"
"Nirvana";"Love Buzz"
"Django Django";"Storm"
"The Temper Trap";"Sweet Disposition"
"Tamino";"Habibi"
"The House Of Love";"Beatles And Stones"
"Noel Gallagher's High Flying...";"Black Star Dancing"
"Portishead";"All Mine"
"Jagwar Ma";"O B 1"
"Taxi Girl";"Cherchez Le Garcon"
"Keren Ann";"Lay Your Head Down"
"The Smiths";"The Boy With The Thorn In His Side"
"Simian";"La Breeze"
"Teleman";"Cactus"
"Foxygen";"Follow The Leader"
"The Swinging Blue Jeans";"You're No Good"
"Naive New Beaters";"Just Another Day"
"The Black Keys";"Lo/Hi"
"Hooverphonic";"2 Wicky"
"Villagers";"A Trick Of The Light"
"The Lumineers";"Ho Hey"
"Alice Cooper";"No More Mr Nice Guy"
"Belle And Sebastian";"Step Into My Office, Baby"
"William Z Villain";"Something Beautiful"
"Radiohead";"Reckoner"
"Cat Power";"Woman (Feat. Lana Del Rey)"
"Pixies";"Where Is My Mind?"
"The Shoes";"Give It Away"
"Sex Pistols";"Anarchy In The U.k."
