"artist";"title"
"De-Phazz";"Hero Dead And Gone (Discotheque Mix)"
"Jay-Z";"Hard Knock Life"
"Four Tet";"Four Tet"
"Damian Marley";"All Night"
"Matteo";"Bury Me (Feat. Kendra Morris)"
"R.wan";"Lache L'affaire"
"Patrice";"Everyday Good"
"Zap Mama";"Mr. Brown"
"Blakroc";"What You Do To Me"
"Arthur H";"La Fille De L'est"
"King Charles";"Wilde Love"
"Brigitte";"Battez Vous"
"Papooz";"Ann Wants To Dance"
"The Beatles";"Why Don't We Do It In The Road"
"Temples";"Shelter Song"
"Shantel";"Planet Paprika"
"Selah Sue";"Crazy Vibes"
"The Cure";"Jumping Someone Else Train"
"Yodelice";"Fade Away"
"Hot Chocolate";"Cheri Babe"
"Ana Moura";"Caso Arrumado"
"Squirrel Nut Zippers";"Stop Drop And Roll"
"Muse";"Muscle Museum"
"Lauryn Hill";"If I Ruled The World"
"Melissa Laveaux";"Panama Mwen Tombe"
"Prodigy";"Mind Fields"
"Mad Lion";"Carpenter"
"Jain";"Lil Mama"
"Vanessa Paradis";"Les Espaces Et Les Sentiments"
"Andrew Bird";"Bloodless"
"Tech N9ne";"Fragile (Ft. Kendrick Lamar, ¡Mayday! & Kendall Morgan)"
"Samarabalouf";"Couscous Frites Mescal"
"The Striders Feat Ras Roni";"Storm Clouds"
"Kyrie Kristmanson";"Song X"
"Skatalites";"James Bond Theme"
"Fatboy Slim";"You're Not From Brighton"
"Boulevard Des Airs";"Mentira"
"Senor Coconut";"Beat It"
"Claude Nougaro";"Armstrong (Version Instrumental)"
"Ziad Rahbani";"Abu Ali"
"Beat Assailant";"4080 (Part I)"
"Dj Vadim";"Black Is The Night (Feat. Katherin De Boer)"
"Alela Diane";"Can You Blame The Sky (Mother's Love)"
"Mayra Andrade";"Tunuka"
"Chinese Man";"Artichaud"
"Kapadnoms";"My Glory Back"
"Assassin";"L'ile De L'inconscient"
"Carolina Chocolate Drops";"Country Girl"
"Hozier";"Take Me To Church"
"Jil Is Lucky";"The Wanderer"
"Charlie Winston";"Hello Alone"
"Donavon Frankenreiter";"Bend In The Road"
"Larry Jon Wilson";"Sheldon Churchyard"
"Renaud Papillon Paravel";"Il Est Temps"
"Nirvana";"Dumb"
"Adriano Celentano";"Svalutation"
"C2c";"Who Are You (Feat. Olivier Daysoul)"
"Definite & Bling";"Like That"
"Les Elles";"Milo"
"Medi";"Excuse My French"
"Karminsky Experience Inc";"Exploration"
"Hangar";"Mon Arbre"
"The White Stripes";"Seven Nation Army"
"Twista";"Overnight Celebrity (Prince Of Ballard Remix)"
"Sola Rosa";"Humanised (Feat. Bajka)"
"Quincy Jones";"Soul Bossa Nova"
"The Heavy";"Girl"
"Bonobo Feat. Szjerdene";"Jets"
"Zoufris Maracas";"Mazunte"
"The Beatles";"Twist And Shout"
"Ratatat";"L.o.x."
"Tom Jones";"Sunny Afternoon (Feat. Space)"
"Orishas";"537 C.u.b.a."
"Keziah Jones";"Long Distance Love"
"Bob Dorough & Bill Takas";"Norwegian Wood"
"Lemaitre";"Cut To Black"
"Antoine Villoutreix";"Les Boulevards De Paris (Club Des Belugas Remix)"
"Beat Assailant";"Break Up Song"
"The Cat Empire";"Sol Y Sombra"
"Wax Poetic";"Tell Me (Feat. Norah Jones)"
"Chucho Valdes & The Afrocuban Messengers";"Begin To Be Good"
"Nightmares On Wax";"I Am You"
"Papooz";"Brother"
"Belleruche";"Gold Rush"
"Guts";"I Want You Tonight"
"Arthur H";"Ma Sorciere Bleue"
"Silmarils";"Il Va Y Avoir Du Sport"
"No Jazz";"Have Fun"
"Peder";"The Sour (Feat.dean Bowman)"
"Adani & Wolf";"I Wanted To Tell You"
"Tom Fire";"The Candle"
"Deluxe";"Indisposed"
"Bonobo";"Flutter"
"Selah Sue";"Please (Feat. Cee-Lo Green)"
"Chinese Man";"Miss Chang (Ft. Taiwan Mc & Cyph4)"
"Paris Combo";"Berry"
"Terry Callier";"You're Goin' Miss Your Candyman"
"Le Peuple De L'herbe";"Heart & Soul"
"Nas & Damian Marley";"Nah Mean"
"Freddie Mc Gregor";"Bobby Babylon"
"Roger Glover";"Love Is All"
"The Meters";"Hand Clapping Song"
"Saian Supa Crew";"Ring My Bell"
"Sugar Ray";"Hold Your Eyes"
"Dafuniks";"Typical Guy"
"V.a.";"Kiss"
"Leisure";"Got It Bad"
"The Lost Fingers";"9 To 5"
"Smokey Joe & The Kid";"Mister Nice Guy"
"Franz Ferdinand";"Come On Home"
"Plej";"Hird-Keep You Hird"
"Holly Craft";"Street"
"Natty";"Stoned On You"
"Lauryn Hill";"Lost Ones"
"Mayra Andrade";"Les Mots D'amour"
"Joe Jackson";"It Don't Mean A Thing (If It Ain't Got That Swing)"
"Sara Schiralli";"Paranoid"
"Stereo Mc's";"Connected"
"Uncommonmenfrommars";"Jessie@Dublin.com"
"Soviet Suprem";"Rongrakatikatong"
"Franck Sinatra";"Fly Me To The Moon"
"Fff";"Come On"
"Zenzile";"Funky Delhi (Feat. Jamika)"
"Freebidou";"Amicalement Votre"
"Samarabalouf";"Jaja"
"Gramatik";"Just Jammin"
"Ben Harper";"Jah Work"
"Club Des Belugas";"Save A Little Love For Me (Feat. Ester Rada)"
"King Charles";"Mississippi Isabel"
"Faya Dub";"Gros Morne Blues"
